PAYEE_ID,STANDARD_NAME,LAST_CHARGE_DATE,CHARGE_CT,TOTAL_AMOUNT,PERCENT_REIMBURSE,DISPUTE,CANCEL,REVIEW
P21119-379,TASKRABBIT* RECEIPT,21103,2,-53682,,,,
P21119-454,BNBNEOBODORDERS.COM 888-6890716,20244,1,-1999,,,,
P21119-478,LA MIA,20136,1,-1040,,,,
P21119-503,Canyon Cafe,20468,2,-42800,,,,
P21119-527,QUEENSBORO CAR,20169,1,-2920,,,,
P21119-756,PRMS INC,21061,2,-576200,,,,
P21119-18,CVS,21018,31,-85092,,,,
P21119-134,CHELSEA JUICE,20279,1,-1354,,,,
P21119-242,PHONE.COM XXXX5441,20578,1,-2388,,,,
P21119-511,Adjustment,21080,3,553097,,,,
P21119-699,"Calm.com, Inc",20327,1,-6999,,,,
P21119-740,WF PL,20897,2,-22610,,,,
P21119-764,Professional Pt,20813,1,-9999,,,,
P21119-241,Twitter,20628,8,-13936,,,,
P21119-469,LAGUARDIA AP,20266,1,-653,,,,
P21119-510,"It Creations,",20399,1,-417500,,,,
P21119-698,COORS PHARMACY,20671,1,-1297,,,,
P21119-747,HTTPSDFINKE NY,20682,3,-2710,,,,
P21119-184,Fairfield Inn,20334,2,-28605,,,,
P21119-257,The UPS,20539,1,-735,,,,
P21119-378,TECH REVIEW,20728,2,-12000,,,,
P21119-502,Janovic Paint,20179,7,-51498,,,,
P21119-526,NIKEPOS_US BEAVERTON,20804,1,-6920,,,,
P21119-755,AplPay BEAN,21025,1,-848,,,,
P21119-17,SNIFFIES,21094,11,-29574,,,,
P21119-133,PEACOCK*123D2 PREMIUNEW,20549,1,-599,,,,
P21119-192,SERVICE CHARGES,21096,32,-106200,,,,
P21119-306,PEACOCK*B116C PREMIUNEW,20793,1,-799,,,,
P21119-461,Walgreens,21004,19,-79376,,,,
P21119-690,Laz Parking,20910,1,-1800,,,,
P21119-763,CLOUD QWFSLC,20455,1,-5,,,,
P21119-25,Rocket Money,21092,32,-10194,,,,
P21119-84,AplPay PATH,21026,43,-12900,,,,
P21119-249,MYSS COM,20460,1,-31320,,,,
P21119-314,DOF/PROPERTY TAX,20398,1,-11830,,,,
P21119-370,ROCHESTOWN PARK,21043,1,-16120,,,,
